Minister,Date,Name of Organisation,Purpose of meeting,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",April 2011,Conservative Friends of Israel,To discuss the Police Reform Bill,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",May 2011,The Times,General Discussion ,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",May 2011,Ecosse Films,General Discussion ,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",May 2011,"Murdoch MacLennan, Telegraph",General Discussion ,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",June 2011,Woodland Trust,General Discussion ,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",June 2011,"Geordie Gregg, Evening Standard",General Discussion ,,,,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",June 2011,Respublica,General Discussion ,,,,,,
"Deputy Chief Whip (Treasurer of HM Household), Rt Hon John Randall MP ",May 2011,"Anthony Longden, Newsquest Media Group Ltd",General discussion,,,,,,
"Earl Attlee, Government Whip (Lords)",June 2011,"Institute of Couriers, Transport for London",Briefing regarding traffic arrangements during the Olympic Games in 2012,,,,,,
"Baroness Northover, Government  Whip (Lords)",April 2011,Specialised Healthcare Alliance,To discuss the Health and Social Care Bill,,,,,,
"Baroness Northover, Government  Whip (Lords)",April 2011,CWM Health,To discuss Health policy,,,,,,
"Baroness Northover, Government  Whip (Lords)",May 2011,Royal College of Practitioners,To discuss the Health and Social Care Bill,,,,,,
"Baroness Northover, Government  Whip (Lords)",June 2011,Health Foundation,To discuss the Health and Social Care Bill and Health policy,,,,,,
"Baroness Rawlings, Government Whip (Lords)",June 2011,Sky,Reception,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Note,,,,,,,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,,,,,,,
